date TimeStamp frameNum numFaces tcPresent phi theta sigma rot. top left bottom right tag
2023-09-25 12:49:51.391792 000001 3 0 None None None None None None None Face-detected
2023-09-25 12:51:17.948638 000005 3 1 1.3772892 0.13591252 0.11355019 23.19859051364819 90 410 111 423 Gaze-det
2023-09-25 12:51:19.910535 000064 3 1 1.3549507 0.09643267 0.066409916 23.19859051364819 90 410 111 423 Gaze-det
2023-09-25 12:51:21.880182 000123 3 1 1.2665423 -0.0020596853 0.084984295 23.19859051364819 90 410 111 424 Gaze-det
2023-09-25 12:51:23.842791 000182 3 1 1.3355156 -0.16358945 0.07889443 23.19859051364819 90 411 111 424 Gaze-det
2023-09-25 12:51:25.809086 000241 3 1 1.2686138 -0.05188135 0.08895413 16.69924423399362 89 411 110 425 Gaze-det
2023-09-25 12:51:27.773201 000300 3 1 -0.1385153 -0.06598688 0.037882607 7.765166018425333 89 412 110 428 Gaze-det
2023-09-25 12:51:29.736611 000359 3 1 0.82360154 0.083645776 0.035098165 7.765166018425333 90 412 111 428 Gaze-det
2023-09-25 12:51:31.701385 000418 3 1 0.8062012 0.08775831 0.033633187 0.0 90 412 110 427 Gaze-det
2023-09-25 12:51:33.669214 000477 3 1 1.3802781 -0.037361354 0.06455037 23.19859051364819 89 410 110 423 Gaze-det
2023-09-25 12:51:35.632484 000536 3 1 1.2196839 -0.04208578 0.061901275 12.994616791916505 89 412 110 426 Gaze-det
2023-09-25 12:51:37.596803 000595 3 1 0.8017649 -0.85778564 0.1060991 0.0 89 414 110 431 Gaze-det
2023-09-25 12:51:39.561234 000654 3 1 -0.06901655 -0.0075147706 0.028052833 6.581944655178011 92 414 112 431 Gaze-det
2023-09-25 12:51:41.530704 000713 3 1 -0.078769274 -0.0030094502 0.027854066 6.84277341263094 92 413 113 431 Gaze-det
2023-09-25 12:51:43.496975 000772 3 1 0.03184687 -0.13150984 0.029313734 6.581944655178011 92 414 113 431 Gaze-det
2023-09-25 12:51:45.456890 000831 3 1 -0.09603978 -0.07864494 0.031706918 6.581944655178011 92 414 113 431 Gaze-det
2023-09-25 12:51:47.424812 000890 3 1 0.9226305 -0.059292633 0.035748407 7.765166018425333 89 413 111 429 Gaze-det
2023-09-25 12:51:49.389498 000949 3 1 0.94763696 -0.040235355 0.038622625 8.972626614896393 88 412 109 428 Gaze-det
2023-09-25 12:51:51.353722 001008 3 1 -0.04314188 -0.26664186 0.03440686 12.994616791916505 88 414 109 431 Gaze-det
2023-09-25 12:51:53.316933 001067 3 1 0.0011072651 -0.25390762 0.049664028 0.0 93 410 113 427 Gaze-det
2023-09-25 12:51:55.287299 001126 3 1 1.03149 -1.1366916 0.08678912 8.972626614896393 96 410 115 426 Gaze-det
2023-09-25 12:51:57.249559 001185 3 1 1.0983543 -1.0288498 0.084884755 8.972626614896393 96 411 115 426 Gaze-det
2023-09-25 12:51:59.213256 001244 3 1 1.0107048 -0.8663374 0.090825036 0.0 94 411 114 427 Gaze-det
2023-09-25 12:52:01.181191 001303 3 1 0.9772336 -0.9292708 0.102994956 8.972626614896393 94 412 115 428 Gaze-det
2023-09-25 12:52:03.148254 001362 3 1 0.88084924 -0.84999156 0.08647553 8.972626614896393 95 411 115 426 Gaze-det
2023-09-25 12:52:05.109481 001421 3 1 0.8527357 -1.0613098 0.10706206 8.972626614896393 96 411 115 426 Gaze-det
2023-09-25 12:52:07.073179 001480 3 1 0.94922966 -1.0107782 0.0925886 0.0 96 411 115 426 Gaze-det
2023-09-25 12:52:09.043096 001539 3 1 0.89763093 -0.98856646 0.09458381 0.0 96 411 115 426 Gaze-det
2023-09-25 12:52:11.005229 001598 3 1 1.0822577 -0.96002877 0.07635474 8.972626614896393 95 411 115 426 Gaze-det
2023-09-25 12:52:12.981014 001657 3 1 1.0291634 -0.94473326 0.08211455 0.0 95 411 115 426 Gaze-det
2023-09-25 12:52:14.946966 001716 3 1 0.99075305 -1.0736454 0.099550664 0.0 95 411 115 426 Gaze-det
2023-09-25 12:52:16.903003 001775 3 1 1.039119 -1.0971042 0.092313945 0.0 95 411 115 426 Gaze-det
2023-09-25 12:52:18.865308 001834 3 1 0.9475498 -1.2382414 0.119758315 8.972626614896393 95 411 115 426 Gaze-det
2023-09-25 12:52:20.845715 001893 3 1 -0.12418757 -0.09349207 0.02803253 0.0 93 413 112 428 Gaze-det
2023-09-25 12:52:22.807055 001952 3 1 1.3102922 -0.21242431 0.0757493 23.19859051364819 89 423 110 437 Gaze-det
2023-09-25 12:52:24.773700 002011 3 1 -0.10223643 -0.048184127 0.02557026 -7.765166018425333 98 419 118 436 Gaze-det
2023-09-25 12:52:26.736631 002070 3 1 0.9644785 -0.92704725 0.060056143 -6.84277341263094 98 418 119 434 Gaze-det
2023-09-25 12:52:28.705577 002129 3 1 1.1752971 -1.0565653 0.08830274 0.0 98 418 118 433 Gaze-det
2023-09-25 12:52:30.667063 002188 3 1 0.81569964 -1.2530452 0.11940795 0.0 99 417 119 433 Gaze-det
2023-09-25 12:52:32.632955 002247 3 1 1.0151474 -1.0212018 0.07548112 -10.619655276155134 99 417 119 433 Gaze-det
2023-09-25 12:52:34.598757 002306 3 1 0.8008815 -0.7714777 0.064855985 0.0 99 417 119 433 Gaze-det
2023-09-25 12:52:36.556634 002365 3 1 0.9101911 -0.74073833 0.06274444 0.0 99 418 119 433 Gaze-det
2023-09-25 12:52:38.517758 002424 3 1 0.81222177 -1.1970965 0.10162521 0.0 99 417 119 433 Gaze-det
2023-09-25 12:52:40.493344 002483 3 1 0.9150857 -0.91865647 0.07211 0.0 99 418 119 433 Gaze-det
2023-09-25 12:52:42.459154 002542 3 1 1.0143636 -0.7058701 0.051570673 0.0 99 418 119 433 Gaze-det
2023-09-25 12:52:44.425168 002601 3 1 -0.08053199 -0.10393487 0.028793097 0.0 98 420 119 436 Gaze-det
2023-09-25 12:52:46.386848 002660 3 1 0.80437654 -1.137744 0.11977963 0.0 99 419 119 435 Gaze-det
2023-09-25 12:52:48.357533 002719 3 1 -0.091534354 -0.08719785 0.035698507 0.0 99 418 119 434 Gaze-det
2023-09-25 12:52:50.318854 002778 3 1 1.0110883 -1.144619 0.08992723 -7.765166018425333 99 417 119 433 Gaze-det
2023-09-25 12:52:52.286106 002837 3 1 0.6671436 -0.85146385 0.0675337 -7.765166018425333 100 417 120 433 Gaze-det
2023-09-25 12:52:54.247174 002896 3 1 1.0680218 -1.1060232 0.07216995 -7.765166018425333 100 417 120 433 Gaze-det
2023-09-25 12:52:56.206672 002955 3 1 1.0759822 -1.1390469 0.073513836 0.0 100 417 120 433 Gaze-det
2023-09-25 12:52:58.169977 003014 3 1 0.90315837 -1.2074746 0.09262159 0.0 100 417 120 433 Gaze-det
2023-09-25 12:53:00.144819 003073 3 1 1.0505416 -1.1243373 0.079084575 0.0 100 417 120 433 Gaze-det
2023-09-25 12:53:02.111067 003132 3 1 0.9899195 -1.0859543 0.08394915 -8.972626614896393 99 418 119 433 Gaze-det
2023-09-25 12:53:04.078103 003191 3 1 1.1284263 -1.2059402 0.083597325 -8.972626614896393 100 418 119 433 Gaze-det
2023-09-25 12:53:06.039082 003250 3 1 -0.15127407 -0.036601838 0.03228613 0.0 99 418 119 434 Gaze-det
2023-09-25 12:53:08.005374 003309 3 1 -0.12062043 -0.08951703 0.030666834 0.0 98 419 118 435 Gaze-det
2023-09-25 12:53:09.971381 003368 3 1 0.75466686 -0.74498516 0.05883641 0.0 98 419 119 435 Gaze-det
2023-09-25 12:53:11.937681 003427 3 1 0.8956895 -0.88224643 0.07558926 8.972626614896393 98 418 119 434 Gaze-det
2023-09-25 12:53:13.899035 003486 3 1 0.8331578 -0.9276524 0.07454981 0.0 99 418 119 434 Gaze-det
2023-09-25 12:53:15.858982 003545 3 1 1.0053599 -0.76347774 0.061110474 0.0 99 418 120 433 Gaze-det
2023-09-25 12:53:17.822073 003604 3 1 1.0388197 -0.66730326 0.05713894 0.0 99 418 120 433 Gaze-det
2023-09-25 12:53:19.797663 003663 3 1 1.1000464 -1.0621196 0.07332512 10.619655276155134 99 418 120 433 Gaze-det
2023-09-25 12:53:21.762900 003722 3 1 0.93868524 -1.0381734 0.103759564 0.0 99 418 120 433 Gaze-det
2023-09-25 12:53:23.729027 003781 3 1 1.5795174 -0.8133217 0.21825404 45.0 93 417 114 430 Gaze-det
2023-09-25 12:53:25.692095 003840 3 1 0.8718902 -1.0059958 0.11180877 0.0 99 418 119 433 Gaze-det
2023-09-25 12:53:27.662347 003899 3 1 1.0068604 -0.9950783 0.08047455 8.972626614896393 99 418 120 433 Gaze-det
2023-09-25 12:53:29.623020 003958 3 1 -0.016849536 -0.041299444 0.024198322 -6.581944655178011 97 420 117 437 Gaze-det
2023-09-25 12:53:31.588981 004017 3 1 -0.04831542 -0.07756734 0.028271973 0.0 97 419 117 436 Gaze-det
2023-09-25 12:53:33.551852 004076 3 1 -0.12187345 -0.110903926 0.03156462 0.0 98 420 119 436 Gaze-det
2023-09-25 12:53:35.511025 004135 3 1 -0.053612713 -0.044744212 0.02580464 0.0 99 418 119 435 Gaze-det
2023-09-25 12:53:37.474681 004194 3 1 -0.04526456 -0.043645836 0.027170176 0.0 99 418 119 435 Gaze-det
2023-09-25 12:53:39.449163 004253 3 1 -0.037588853 -0.09975503 0.028108567 0.0 99 418 120 435 Gaze-det
2023-09-25 12:53:41.414702 004312 3 1 -0.03646611 -0.062184792 0.02448513 0.0 99 418 120 435 Gaze-det
2023-09-25 12:53:43.380800 004371 3 1 -0.056597967 -0.07460655 0.028467128 0.0 100 417 120 434 Gaze-det
2023-09-25 12:53:45.343256 004430 3 1 -0.03617351 -0.07012081 0.030919395 0.0 100 417 120 434 Gaze-det
2023-09-25 12:53:47.309000 004489 3 1 -0.11618711 0.00050449756 0.027291855 0.0 100 417 120 434 Gaze-det
2023-09-25 12:53:49.275589 004548 3 1 -0.05608188 -0.053090405 0.03207711 0.0 100 417 120 434 Gaze-det
2023-09-25 12:53:51.241135 004607 3 1 -0.0018889256 -0.041456744 0.03342177 0.0 99 417 119 433 Gaze-det
2023-09-25 12:53:53.203149 004666 3 1 -0.12969764 -0.07886608 0.03366271 0.0 99 418 119 434 Gaze-det
2023-09-25 12:53:55.163429 004725 3 1 0.8671642 -1.0204581 0.08771553 0.0 100 417 120 433 Gaze-det
2023-09-25 12:53:57.126473 004784 3 1 0.90183073 0.11579436 0.03773776 0.0 99 417 119 433 Gaze-det
2023-09-25 12:53:59.100970 004843 3 1 -0.11381276 0.0084255785 0.032447893 0.0 99 418 120 434 Gaze-det
2023-09-25 12:54:01.063740 004902 3 1 -0.114108585 0.024238817 0.030582078 0.0 99 418 119 434 Gaze-det
2023-09-25 12:54:03.033679 004961 3 1 -0.11090989 -0.054140855 0.035480157 8.972626614896393 99 418 120 434 Gaze-det
2023-09-25 12:54:04.994898 005020 3 1 0.3479375 -0.24946092 0.038973756 7.765166018425333 99 418 120 434 Gaze-det
2023-09-25 12:54:06.966662 005079 3 1 0.31538028 -0.21007434 0.03926812 0.0 99 419 119 435 Gaze-det
2023-09-25 12:54:08.926956 005138 3 1 -0.15179569 -0.019706368 0.03049887 7.765166018425333 99 419 119 435 Gaze-det
2023-09-25 12:54:10.893078 005197 3 1 0.82087487 -0.99733025 0.08896687 0.0 100 418 120 434 Gaze-det
2023-09-25 12:54:12.855101 005256 3 1 -0.040495366 -0.1013056 0.034343846 0.0 100 417 120 432 Gaze-det
2023-09-25 12:54:14.810682 005315 3 1 -0.032039605 -0.12406599 0.030954292 0.0 100 417 120 433 Gaze-det
2023-09-25 12:54:16.780101 005374 3 1 0.023320276 -0.22227086 0.030171556 0.0 100 417 120 432 Gaze-det
2023-09-25 12:54:18.753167 005433 3 1 0.26721096 -0.2631503 0.03314651 -7.765166018425333 100 417 120 433 Gaze-det
2023-09-25 12:54:20.714887 005492 3 1 0.33849004 -0.29004052 0.034384996 -7.765166018425333 100 418 120 434 Gaze-det
2023-09-25 12:54:22.685014 005551 3 1 0.3388091 -0.3132439 0.03784517 -6.84277341263094 100 418 119 434 Gaze-det
2023-09-25 12:54:24.648962 005610 3 1 -0.061581 -0.01780071 0.027069574 0.0 99 418 120 434 Gaze-det
2023-09-25 12:54:26.619159 005669 2 1 -0.13433346 -0.07734849 0.027090248 0.0 98 418 119 434 Gaze-det
2023-09-25 12:54:28.574741 005728 2 1 0.2878292 -0.23768103 0.034205925 0.0 98 418 119 434 Gaze-det
2023-09-25 12:54:30.546205 005787 2 1 -0.1143744 -0.08937986 0.03144352 0.0 98 418 119 434 Gaze-det
2023-09-25 12:54:32.506871 005846 2 1 0.30249023 -0.3254762 0.03637162 0.0 98 418 119 434 Gaze-det
2023-09-25 12:54:34.463104 005905 2 1 0.48112062 -1.1006607 0.14420967 0.0 99 418 119 434 Gaze-det
2023-09-25 12:54:36.439389 005964 2 1 0.26916936 -0.29609218 0.038237933 0.0 98 418 119 434 Gaze-det
2023-09-25 12:54:38.395307 006023 2 1 -0.1426581 -0.07462592 0.030661518 0.0 98 418 119 434 Gaze-det
2023-09-25 12:54:40.366941 006082 2 1 1.2472787 -0.09369402 0.056669258 12.994616791916505 96 418 117 432 Gaze-det
2023-09-25 12:54:42.334903 006141 2 1 0.90814596 -0.9093368 0.14016221 0.0 98 416 119 431 Gaze-det
2023-09-25 12:54:44.299132 006200 2 1 0.97464174 -0.7135977 0.08797727 0.0 98 417 119 432 Gaze-det
2023-09-25 12:54:46.264849 006259 2 1 1.1986675 -0.3004496 0.085824944 16.69924423399362 97 417 119 430 Gaze-det
2023-09-25 12:54:48.226851 006318 2 1 1.8912336 -0.75241905 0.19343543 45.0 97 414 117 427 Gaze-det
2023-09-25 12:54:50.196977 006377 2 1 2.0122552 -0.91243106 0.1484913 45.0 95 414 115 427 Gaze-det
2023-09-25 12:54:52.159681 006436 2 1 1.1270063 -0.74357194 0.06641307 12.994616791916505 98 416 119 431 Gaze-det
2023-09-25 12:54:54.115267 006495 2 1 1.094596 -0.92304826 0.111210816 0.0 99 415 119 430 Gaze-det
2023-09-25 12:54:56.077275 006554 2 1 0.86101735 -0.7714287 0.08765967 0.0 99 416 119 430 Gaze-det
2023-09-25 12:54:58.058134 006613 2 1 0.6797249 -0.8712399 0.11311525 0.0 99 415 119 430 Gaze-det
2023-09-25 12:55:00.018668 006672 2 1 0.90215486 -0.82331026 0.08471834 0.0 99 415 119 430 Gaze-det
2023-09-25 12:55:01.984868 006731 2 1 0.81984925 -1.1006627 0.11941171 10.619655276155134 99 415 119 430 Gaze-det
2023-09-25 12:55:03.950796 006790 2 1 0.9873881 -0.65858114 0.05697151 0.0 100 416 120 431 Gaze-det
2023-09-25 12:55:05.916813 006849 2 1 1.0488752 -0.65390587 0.07711161 10.619655276155134 98 416 119 430 Gaze-det
2023-09-25 12:55:07.879050 006908 2 1 0.8625415 -0.7612663 0.06718035 0.0 99 416 120 432 Gaze-det
2023-09-25 12:55:09.848964 006967 2 1 0.8547729 -0.7950757 0.060617708 0.0 100 417 120 432 Gaze-det
2023-09-25 12:55:11.810801 007026 2 1 0.89734286 -0.8322124 0.064619385 0.0 100 417 120 433 Gaze-det
2023-09-25 12:55:13.767982 007085 2 1 0.8386618 -0.8878427 0.08216183 0.0 99 417 120 433 Gaze-det
2023-09-25 12:55:15.738942 007144 2 1 0.81171936 -0.9345194 0.07983975 7.765166018425333 99 417 120 433 Gaze-det
2023-09-25 12:55:17.708924 007203 2 1 0.85816634 -0.9123602 0.09717992 7.765166018425333 98 418 119 433 Gaze-det
2023-09-25 12:55:19.670852 007262 2 1 1.4347138 0.08925261 0.0810865 23.19859051364819 97 415 118 428 Gaze-det
2023-09-25 12:55:21.636965 007321 2 1 1.4102862 0.10563888 0.075380035 23.19859051364819 97 415 118 428 Gaze-det
2023-09-25 12:55:23.603208 007380 2 1 0.77887905 -0.58000666 0.21323748 45.0 97 415 117 429 Gaze-det
2023-09-25 12:55:25.569234 007439 2 1 1.4082379 0.104199186 0.08509706 23.19859051364819 97 415 118 428 Gaze-det
2023-09-25 12:55:27.531095 007498 2 1 0.27527568 -0.87328017 0.13373937 8.972626614896393 98 417 119 432 Gaze-det
2023-09-25 12:55:29.496948 007557 2 1 0.24220192 -0.29616606 0.034465637 7.765166018425333 96 417 118 433 Gaze-det
2023-09-25 12:55:31.463092 007616 2 1 0.9607891 -0.99569935 0.077695265 0.0 97 417 119 433 Gaze-det
2023-09-25 12:55:33.418602 007675 2 1 0.94795746 -0.91476864 0.08619928 0.0 97 417 119 431 Gaze-det
2023-09-25 12:55:35.380657 007734 2 1 -0.0036901506 -0.071504064 0.019907791 0.0 97 418 119 436 Gaze-det
2023-09-25 12:55:37.360877 007793 2 1 -0.07571789 -0.05412373 0.023172298 0.0 98 418 119 435 Gaze-det
2023-09-25 12:55:39.322637 007852 2 1 1.0299289 -0.8428779 0.08813722 8.972626614896393 98 417 120 432 Gaze-det
2023-09-25 12:55:41.288937 007911 2 1 1.1112131 -0.67114234 0.102483556 10.619655276155134 99 416 119 431 Gaze-det
2023-09-25 12:55:43.250710 007970 2 1 1.0336305 -0.6659465 0.10131864 12.994616791916505 99 416 120 431 Gaze-det
2023-09-25 12:55:45.220965 008029 2 1 -0.71465725 -0.1761 0.030204985 6.84277341263094 98 422 120 441 Gaze-det
2023-09-25 12:55:47.183417 008088 2 1 -0.030918019 0.0076315305 0.023838166 6.84277341263094 98 419 119 437 Gaze-det
2023-09-25 12:55:49.148919 008147 2 1 0.97227955 -0.7441254 0.08945445 10.619655276155134 98 417 119 432 Gaze-det
2023-09-25 12:55:51.115457 008206 2 1 0.90565026 -0.8277068 0.12724428 10.619655276155134 98 417 119 431 Gaze-det
2023-09-25 12:55:53.072734 008265 2 1 1.7270569 -0.7866773 0.13409126 36.86989764584402 97 415 118 428 Gaze-det
2023-09-25 12:55:55.043176 008324 2 1 1.077186 -0.6881392 0.10395688 0.0 99 416 119 430 Gaze-det
2023-09-25 12:55:57.014298 008383 2 1 1.1512561 -0.9475429 0.09999276 0.0 99 416 119 430 Gaze-det
2023-09-25 12:55:58.975129 008442 2 1 0.9913981 -0.560376 0.11436617 10.619655276155134 98 417 120 431 Gaze-det
2023-09-25 12:56:00.941517 008501 2 1 0.75945187 -0.6929615 0.10938586 12.994616791916505 98 416 119 430 Gaze-det
2023-09-25 12:56:02.902705 008560 2 1 0.74015456 -0.6994101 0.1008992 0.0 98 416 119 430 Gaze-det
2023-09-25 12:56:04.872816 008619 2 1 1.1052836 -0.70801157 0.08288493 0.0 98 417 119 430 Gaze-det
2023-09-25 12:56:06.834978 008678 2 1 1.4339982 -0.012283118 0.052216593 23.19859051364819 97 415 118 428 Gaze-det
2023-09-25 12:56:08.800563 008737 2 1 1.2698064 -0.79107684 0.083297566 12.994616791916505 98 416 119 430 Gaze-det
2023-09-25 12:56:10.767002 008796 2 1 1.2260984 -0.7601209 0.0804992 0.0 99 416 119 430 Gaze-det
2023-09-25 12:56:12.723416 008855 2 1 0.22563869 -0.26033178 0.03994032 0.0 98 417 119 432 Gaze-det
2023-09-25 12:56:14.685281 008914 2 1 -0.09024714 -0.012077635 0.02579094 0.0 98 418 119 434 Gaze-det
2023-09-25 12:56:16.661047 008973 2 1 0.1990342 -0.24012677 0.029093968 7.765166018425333 98 418 119 434 Gaze-det
2023-09-25 12:56:18.622068 009032 2 1 -0.023708917 -0.26881078 0.06568965 6.84277341263094 99 418 119 434 Gaze-det
2023-09-25 12:56:20.625112 009076 2 1 0.05766777 -0.33148363 0.044730306 7.765166018425333 99 418 119 434 Gaze-det
2023-09-25 12:56:22.703684 009108 2 1 -0.20377584 -0.18793136 0.043850787 7.765166018425333 98 418 119 433 Gaze-det
2023-09-25 12:56:24.701558 009138 2 1 0.20119055 -0.33524224 0.056915864 0.0 99 418 119 433 Gaze-det
2023-09-25 12:56:26.700286 009168 2 1 -0.13993882 -0.18441406 0.057204857 0.0 98 418 119 433 Gaze-det
2023-09-25 12:56:28.697495 009198 2 1 0.8708815 -0.9013505 0.10964037 0.0 99 417 119 432 Gaze-det
2023-09-25 12:56:30.691619 009228 2 1 -0.28347003 -0.34402063 0.060979318 0.0 98 417 119 432 Gaze-det
2023-09-25 12:56:32.684781 009258 2 1 0.76238954 -0.8155006 0.093451135 0.0 99 417 119 431 Gaze-det
2023-09-25 12:56:34.684940 009288 2 1 0.24384135 -0.4865984 0.07388556 0.0 98 417 119 432 Gaze-det
2023-09-25 12:56:36.681521 009318 2 1 0.37373894 -0.3505979 0.06410671 0.0 98 417 119 433 Gaze-det
2023-09-25 12:56:38.675441 009348 2 1 0.75174534 -0.31911775 0.07938653 7.765166018425333 98 417 119 432 Gaze-det
2023-09-25 12:56:40.674258 009378 2 1 -0.26792338 -0.17030644 0.05213666 7.765166018425333 98 417 119 433 Gaze-det
2023-09-25 12:56:42.667667 009408 2 1 0.38157678 -0.4093309 0.09162117 8.972626614896393 98 417 119 432 Gaze-det
