dateTimeStamp,TC_gaze,TC_exposure_only
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:54,1,0
9/25/2023 12:54,0,0
9/25/2023 12:54,1,0
9/25/2023 12:54,0,0
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:54,1,0
9/25/2023 12:54,0,0
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:54,1,0
9/25/2023 12:54,0,0
9/25/2023 12:54,1,0
9/25/2023 12:54,0,0
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:54,0,1
9/25/2023 12:54,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,1,0
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,1,0
9/25/2023 12:55,0,0
9/25/2023 12:55,1,0
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,1,0
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:55,0,1
9/25/2023 12:55,0,1
9/25/2023 12:55,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,0,1
9/25/2023 12:56,0,0
9/25/2023 12:56,1,0
9/25/2023 12:56,0,0
9/25/2023 12:56,1,0
9/25/2023 12:56,0,0
9/25/2023 12:56,1,0
9/25/2023 12:56,0,0
9/25/2023 12:56,1,0
9/25/2023 12:56,0,0
