timestamp,TC_gaze,TC_exposure_only
2023-09-25 12:51:17,0.0,1.0
2023-09-25 12:51:22,0.0,1.0
2023-09-25 12:51:27,0.0,1.0
2023-09-25 12:51:32,0.0,1.0
2023-09-25 12:51:37,1.0,0.0
2023-09-25 12:51:42,1.0,0.0
2023-09-25 12:51:47,0.0,1.0
2023-09-25 12:51:52,1.0,0.0
2023-09-25 12:51:57,0.0,1.0
2023-09-25 12:52:02,0.0,1.0
2023-09-25 12:52:07,0.0,1.0
2023-09-25 12:52:12,0.0,1.0
2023-09-25 12:52:17,0.0,1.0
2023-09-25 12:52:22,0.0,1.0
2023-09-25 12:52:27,0.0,1.0
2023-09-25 12:52:32,0.0,1.0
2023-09-25 12:52:37,0.0,1.0
2023-09-25 12:52:42,0.0,1.0
2023-09-25 12:52:47,0.0,1.0
2023-09-25 12:52:52,0.0,1.0
2023-09-25 12:52:57,0.0,1.0
2023-09-25 12:53:02,0.0,1.0
2023-09-25 12:53:07,1.0,0.0
2023-09-25 12:53:12,0.0,1.0
2023-09-25 12:53:17,0.0,1.0
2023-09-25 12:53:22,0.0,1.0
2023-09-25 12:53:27,1.0,0.0
2023-09-25 12:53:32,1.0,0.0
2023-09-25 12:53:37,1.0,0.0
2023-09-25 12:53:42,1.0,0.0
2023-09-25 12:53:47,1.0,0.0
2023-09-25 12:53:52,1.0,0.0
2023-09-25 12:53:57,1.0,0.0
2023-09-25 12:54:02,1.0,0.0
2023-09-25 12:54:07,0.0,1.0
2023-09-25 12:54:12,1.0,0.0
2023-09-25 12:54:17,1.0,0.0
2023-09-25 12:54:22,1.0,0.0
2023-09-25 12:54:27,1.0,0.0
2023-09-25 12:54:32,0.0,1.0
2023-09-25 12:54:37,1.0,0.0
2023-09-25 12:54:42,0.0,1.0
2023-09-25 12:54:47,0.0,1.0
2023-09-25 12:54:52,0.0,1.0
2023-09-25 12:54:57,0.0,1.0
2023-09-25 12:55:02,0.0,1.0
2023-09-25 12:55:07,0.0,1.0
2023-09-25 12:55:12,0.0,1.0
2023-09-25 12:55:17,0.0,1.0
2023-09-25 12:55:22,0.0,1.0
2023-09-25 12:55:27,0.0,1.0
2023-09-25 12:55:32,0.0,1.0
2023-09-25 12:55:37,0.0,1.0
2023-09-25 12:55:42,0.0,1.0
2023-09-25 12:55:47,0.0,1.0
2023-09-25 12:55:52,0.0,1.0
2023-09-25 12:55:57,0.0,1.0
2023-09-25 12:56:02,0.0,1.0
2023-09-25 12:56:07,0.0,1.0
2023-09-25 12:56:12,1.0,0.0
2023-09-25 12:56:17,1.0,0.0
2023-09-25 12:56:22,1.0,0.0
2023-09-25 12:56:27,0.0,1.0
2023-09-25 12:56:32,0.0,1.0
2023-09-25 12:56:37,0.0,1.0
2023-09-25 12:56:42,0.0,1.0
2023-09-25 12:56:47,0.0,1.0
2023-09-25 12:56:52,0.0,1.0
2023-09-25 12:56:57,0.0,1.0
