timestamp,orig_framenumber,timestamp_number,flash_prediction,Gold_standard,TC_Present
2023-09-25 12:54:32.506871,5846,46472,0,0,1
2023-09-25 12:54:34.463104,5905,46474,0,0,1
2023-09-25 12:54:36.439389,5964,46476,0,0,1
2023-09-25 12:54:38.395307,6023,46478,1,0,1
2023-09-25 12:54:40.366941,6082,46480,0,0,1
2023-09-25 12:54:42.334903,6141,46482,0,0,1
2023-09-25 12:54:44.299132,6200,46484,0,0,1
2023-09-25 12:54:46.264849,6259,46486,0,0,1
2023-09-25 12:54:48.226851,6318,46488,0,0,1
2023-09-25 12:54:50.196977,6377,46490,0,0,1
2023-09-25 12:54:52.159681,6436,46492,0,0,1
2023-09-25 12:54:54.115267,6495,46494,0,0,1
2023-09-25 12:54:56.077275,6554,46496,0,0,1
2023-09-25 12:54:58.058134,6613,46498,0,0,1
2023-09-25 12:55:00.018668,6672,46500,0,0,1
2023-09-25 12:55:01.984868,6731,46501,0,0,1
2023-09-25 12:55:03.950796,6790,46503,0,0,1
2023-09-25 12:55:05.916813,6849,46505,0,0,1
2023-09-25 12:55:07.879050,6908,46507,0,0,1
2023-09-25 12:55:09.848964,6967,46509,0,0,1
2023-09-25 12:55:11.810801,7026,46511,0,0,1
2023-09-25 12:55:13.767982,7085,46513,0,0,1
2023-09-25 12:55:15.738942,7144,46515,0,0,1
2023-09-25 12:55:17.708924,7203,46517,0,0,1
2023-09-25 12:55:19.670852,7262,46519,0,0,1
2023-09-25 12:55:21.636965,7321,46521,0,0,1
2023-09-25 12:55:23.603208,7380,46523,0,0,1
2023-09-25 12:55:25.569234,7439,46525,0,0,1
2023-09-25 12:55:27.531095,7498,46527,0,0,1
2023-09-25 12:55:29.496948,7557,46529,1,0,1
2023-09-25 12:55:31.463092,7616,46531,0,0,1
2023-09-25 12:55:33.418602,7675,46533,0,1,1
2023-09-25 12:55:35.380657,7734,46535,1,1,1
2023-09-25 12:55:37.360877,7793,46537,1,1,1
2023-09-25 12:55:39.322637,7852,46539,0,0,1
2023-09-25 12:55:41.288937,7911,46541,0,0,1
2023-09-25 12:55:43.250710,7970,46543,0,0,1
2023-09-25 12:55:45.220965,8029,46545,0,0,1
2023-09-25 12:55:47.183417,8088,46547,1,0,1
2023-09-25 12:55:49.148919,8147,46549,0,0,1
2023-09-25 12:55:51.115457,8206,46551,0,0,1
2023-09-25 12:55:53.072734,8265,46553,0,0,1
2023-09-25 12:55:55.043176,8324,46555,0,0,1
2023-09-25 12:55:57.014298,8383,46557,0,0,1
2023-09-25 12:55:58.975129,8442,46558,0,0,1
2023-09-25 12:56:00.941517,8501,46560,0,0,1
2023-09-25 12:56:02.902705,8560,46562,0,0,1
2023-09-25 12:56:04.872816,8619,46564,0,0,1
2023-09-25 12:56:06.834978,8678,46566,0,0,1
2023-09-25 12:56:08.800563,8737,46568,0,0,1
2023-09-25 12:56:10.767002,8796,46570,0,0,1
2023-09-25 12:56:12.723416,8855,46572,1,0,1
2023-09-25 12:56:14.685281,8914,46574,1,1,1
2023-09-25 12:56:16.661047,8973,46576,1,1,1
2023-09-25 12:56:18.622068,9032,46578,1,0,1
2023-09-25 12:56:20.625112,9076,46580,1,0,1
2023-09-25 12:56:22.703684,9108,46582,1,0,1
2023-09-25 12:56:24.701558,9138,46584,1,0,1
2023-09-25 12:56:26.700286,9168,46586,1,0,1
2023-09-25 12:56:28.697495,9198,46588,0,0,1
2023-09-25 12:56:30.691619,9228,46590,1,0,1
2023-09-25 12:56:32.684781,9258,46592,0,0,1
2023-09-25 12:56:34.684940,9288,46594,0,0,1
2023-09-25 12:56:36.681521,9318,46596,0,0,1
2023-09-25 12:56:38.675441,9348,46598,0,0,1
2023-09-25 12:56:40.674258,9378,46600,1,0,1
2023-09-25 12:56:42.667667,9408,46602,0,0,1
2023-09-25 12:56:44.665699,9438,46604,0,0,1
2023-09-25 12:56:46.663529,9468,46606,0,0,1
2023-09-25 12:56:48.661595,9498,46608,1,0,1
2023-09-25 12:56:50.655540,9528,46610,0,0,1
2023-09-25 12:56:52.647956,9558,46612,0,0,1
2023-09-25 12:56:54.647852,9588,46614,0,0,1
2023-09-25 12:56:56.645522,9618,46616,0,0,1
2023-09-25 12:56:58.639619,9648,46618,0,0,1
2023-09-25 12:57:00.637699,9678,46620,0,0,1
2023-09-25 12:57:02.635842,9708,46622,0,0,1
2023-09-25 12:57:04.633726,9738,46624,0,0,1
2023-09-25 12:57:06.632671,9768,46626,0,0,1
2023-09-25 12:57:08.625543,9798,46628,1,0,1
